Time Stamp,Step,Status,Prog Time,Step Time,Cycle,Cycle Level,Procedure,Voltage,Current,Temperature,Capacity,WhAccu,Cnt,battery_id
2024-01-01 00:00:00,2,Charging,00:42:00,00:35:00,681,Low,Rest,3.52,1.64,43.2,0.625,6.31,1,Pack-01
2024-01-01 00:30:00,2,Discharging,00:49:00,00:20:00,825,Medium,CC-CV,3.72,-1.09,29.3,2.08,2.91,2,Pack-01
2024-01-01 01:00:00,2,Rest,00:10:00,00:12:00,743,Medium,Rest,3.9,0.91,22.6,2.171,9.07,3,Pack-01
2024-01-01 01:30:00,1,Rest,00:45:00,00:44:00,699,Medium,CC-CV,4.11,-0.19,32.1,1.02,2.04,4,Pack-01
2024-01-01 02:00:00,1,Discharging,00:28:00,00:29:00,547,High,Rest,3.59,-1.85,36.9,1.346,4.22,5,Pack-01
2024-01-01 02:30:00,3,Discharging,00:15:00,00:33:00,800,Low,Rest,3.58,0.77,40.1,0.67,4.79,6,Pack-01
2024-01-01 03:00:00,3,Discharging,00:35:00,00:28:00,136,Medium,Rest,3.53,1.92,30.7,0.952,8.64,7,Pack-01
2024-01-01 03:30:00,3,Charging,00:37:00,00:31:00,88,Medium,CC-CV,3.59,1.51,37.1,2.134,4.05,8,Pack-01
2024-01-01 04:00:00,3,Discharging,00:52:00,00:48:00,453,High,CC,3.52,-0.16,29.1,0.988,2.29,9,Pack-01
2024-01-01 04:30:00,3,Charging,00:46:00,00:42:00,679,Low,CC-CV,4.17,-1.48,32.9,1.47,4.03,10,Pack-01
2024-01-01 05:00:00,3,Charging,00:19:00,00:39:00,104,Medium,CC-CV,4.0,-0.15,34.3,1.984,8.79,11,Pack-01
2024-01-01 05:30:00,2,Charging,00:24:00,00:15:00,35,High,CC-CV,3.85,-1.23,32.0,2.256,1.56,12,Pack-01
2024-01-01 06:00:00,1,Discharging,00:35:00,00:41:00,527,Medium,CC-CV,3.84,-1.24,29.9,2.25,8.11,13,Pack-01
2024-01-01 06:30:00,1,Rest,00:10:00,00:57:00,15,High,Rest,3.97,1.63,28.9,1.157,3.03,14,Pack-01
2024-01-01 07:00:00,1,Rest,00:36:00,00:33:00,302,Medium,Rest,4.03,-0.76,39.7,1.034,4.54,15,Pack-01
2024-01-01 07:30:00,2,Rest,00:48:00,00:26:00,746,High,CC,3.86,-1.95,24.8,1.54,1.55,16,Pack-01
2024-01-01 08:00:00,1,Rest,00:56:00,00:15:00,593,Medium,CC,3.8,-1.38,44.5,2.424,7.25,17,Pack-01
2024-01-01 08:30:00,1,Charging,00:48:00,00:11:00,544,Medium,CC,3.54,0.66,42.8,2.264,5.27,18,Pack-01
2024-01-01 09:00:00,1,Charging,00:28:00,00:55:00,584,Low,CC,4.01,-1.39,23.8,2.129,5.92,19,Pack-01
2024-01-01 09:30:00,2,Rest,00:49:00,00:41:00,766,Low,CC,3.99,0.98,35.9,1.681,5.71,20,Pack-01
2024-01-01 10:00:00,1,Charging,00:44:00,00:24:00,309,Low,CC-CV,4.15,-0.73,32.6,0.615,2.7,21,Pack-01
2024-01-01 10:30:00,3,Charging,00:13:00,00:57:00,529,High,CC,3.96,-1.05,37.8,2.476,2.99,22,Pack-01
